,code,name,nameshort
466,AYTU,Aytu Biopharma Inc,Aytu Biopharma
467,AMED,Amedisys Inc,Amedisys
468,ADXN,Addex Therapeutics Ltd,Addex Therapeutics
469,AUDC,AudioCodes Ltd,AudioCodes
470,ARTNA,Artesian Resources Corp,Artesian Resources
471,AHT,Ashford Hospitality Trust Inc,Ashford Hospitality Trust
472,APP,Applovin Corp,Applovin
473,ACR,Acres Commercial Realty Corp,Acresmmercial Realty
474,APO,Apollo Global Management Inc,Apollo Global Management
475,AFBI,Affinity Bancshares Inc,Affinity Bancshares
476,APM,Aptorum Group Ltd,Aptorum Group
477,AGNCP,AGNC Investment Corp,AGNC Investment
478,AGNCO,AGNC Investment Corp,AGNC Investment
479,ACON,Aclarion Inc,Aclarion
480,AGNCN,AGNC Investment Corp,AGNC Investment
481,ALAR,Alarum Technologies Ltd,Alarum Technologies
482,AYRO,AYRO Inc,AYRO
483,DOX,Amdocs Ltd,Amdocs
484,AGNCL,AGNC Investment Corp,AGNC Investment
485,AIT,Applied Industrial Technologies Inc,Applied Industrial Technologies
486,ADAG,Adagene Inc,Adagene
487,ALGM,Allegro Microsystems Inc,Allegro Microsystems
488,ARWR,Arrowhead Pharmaceuticals Inc,Arrowhead Pharmaceuticals
489,AC,Associated Capital Group Inc,Associated Capital Group
490,AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher &.
491,CAR,Avis Budget Group Inc,Avis Budget Group
492,AMRX,Amneal Pharmaceuticals Inc,Amneal Pharmaceuticals
493,ADVM,Adverum Biotechnologies Inc,Adverum Biotechnologies
494,AKAM,Akamai Technologies Inc,Akamai Technologies
495,AIMAU,Aimfinity Investment Corp I,Aimfinity Investment I
496,RCUS,Arcus Biosciences Inc,Arcus Biosciences
497,AX,Axos Financial Inc,Axos Financial
498,ANET,Arista Networks Inc,Arista Networks
499,ARE,Alexandria Real Estate Equities Inc,Alexandria Real Estate Equities
500,AUB,Atlantic Union Bankshares Corp,Atlantic Union Bankshares
501,AMSWA,American Software Inc,American Software
502,AXTA,Axalta Coating Systems Ltd,Axaltaating Systems
503,ACIW,ACI Worldwide Inc,ACI Worldwide
504,ALV,Autoliv Inc,Autoliv
505,ANF,Abercrombie & Fitch Co,Abercrombie & Fitch
506,ASX,ASE Technology Holding Co Ltd,ASE Technology Holding
507,CRMT,America's CAR-MART Inc,America's CAR-MART
508,ATGE,Adtalem Global Education Inc,Adtalem Global Education
509,APTV,Aptiv PLC,Aptiv
510,AURA,Aura Biosciences Inc,Aura Biosciences
