,code,name,nameshort
3019,LGF.B,Lions Gate Entertainment Corp,Lions Gate Entertainment
3020,LRHC,La Rosa Holdings,La Rosa Holdings
3021,LSXMB,Liberty Media Corp,Liberty Media
3022,LION,Lionsgate Studios Corp,Lionsgate Studios
3023,GORV,Lazydays Holdings Inc,Lazydays Holdings
3024,LANV,Lanvin Group Holdings Ltd,Lanvin Group Holdings
3025,LBRDA,Liberty Broadband Corp,Liberty Broadband
3026,LTRY,Lottery.com Inc,Lottery.com
3027,LITB,LightInTheBox Holding Co Ltd,LightInTheBox Holding
3028,LAUR,Laureate Education Inc,Laureate Education
3029,LSTR,Landstar System Inc,Landstar System
3030,LOW,Lowe's Companies Inc,Lowe'smpanies
3031,LFVN,LifeVantage Corp,LifeVantage
3032,LKQ,LKQ Corp,LKQ
3033,LFT,Lument Finance Trust Inc,Lument Finance Trust
3034,LADR,Ladder Capital Corp,Ladder Capital
3035,LPX,Louisiana-Pacific Corp,Louisiana-Pacific
3036,LGIH,LGI Homes Inc,LGI Homes
3037,LSPD,Lightspeed Commerce Inc,Lightspeedmmerce
3038,LNW,Light & Wonder Inc,Light & Wonder
3039,LWLG,Lightwave Logic Inc,Lightwave Logic
3040,LNTH,Lantheus Holdings Inc,Lantheus Holdings
3041,LSTA,Lisata Therapeutics Inc,Lisata Therapeutics
3042,LYV,Live Nation Entertainment Inc,Live Nation Entertainment
3043,LGHL,Lion Group Holding Ltd,Lion Group Holding
3044,LOMA,Loma Negra Compania Industrial Argentina SA,Loma Negrampania Industrial Argentina
3045,LI,Li Auto Inc,Li Auto
3046,LIPO,Lipella Pharmaceuticals Inc,Lipella Pharmaceuticals
3047,LFLY,Leafly Holdings Inc,Leafly Holdings
3048,LAZ,Lazard Inc,Lazard
3049,LYFT,Lyft Inc,Lyft
3050,LEGN,Legend Biotech Corp,Legend Biotech
3051,LZ,LegalZoom.com Inc,LegalZoom.com
3052,LSEA,Landsea Homes Corp,Landsea Homes
3053,LUCD,Lucid Diagnostics Inc,Lucid Diagnostics
3054,LPTX,Leap Therapeutics Inc,Leap Therapeutics
3055,LILA,Liberty Latin America Ltd,Liberty Latin America
3056,FSTR,L B Foster Co,L B Foster
3057,LYTS,LSI Industries Inc,LSI Industries
3058,LGO,Largo Inc,Largo
3059,LXP,LXP Industrial Trust,LXP Industrial Trust
3060,LPCN,Lipocine Inc,Lipocine
3061,LMND,Lemonade Inc,Lemonade
3062,LYRA,Lyra Therapeutics Inc,Lyra Therapeutics
3063,LL,LL Flooring Holdings Inc,LL Flooring Holdings
3064,LCFY,Locafy Ltd,Locafy
3065,LHX,L3Harris Technologies Inc,L3Harris Technologies
3066,LYT,Lytus Technologies Holdings Ptv Ltd,Lytus Technologies Holdings Ptv
3067,RAMP,Liveramp Holdings Inc,Liveramp Holdings
3068,LBRT,Liberty Energy Inc,Liberty Energy
3069,LXEH,Lixiang Education Holding Co Ltd,Lixiang Education Holding
3070,LE,Lands End Inc,Lands End
3071,LNZA,Lanzatech Global Inc,Lanzatech Global
3072,LBTYA,Liberty Global Ltd,Liberty Global
3073,LCW,Learn CW Investment Corp,Learn CW Investment
3074,LRFC,Logan Ridge Finance Corp,Logan Ridge Finance
3075,LEVI,Levi Strauss & Co,Levi Strauss &
3076,LCUT,Lifetime Brands Inc,Lifetime Brands
3077,LIVN,LivaNova PLC,LivaNova
3078,SWIM,Latham Group Inc,Latham Group
3079,LUMN,Lumen Technologies Inc,Lumen Technologies
3080,LGVN,Longeveron Inc,Longeveron
3081,LOOP,Loop Industries Inc,Loop Industries
3082,LEXX,Lexaria Bioscience Corp,Lexaria Bioscience
3083,LITE,Lumentum Holdings Inc,Lumentum Holdings
3084,LVS,Las Vegas Sands Corp,Las Vegas Sands
3085,LTRX,Lantronix Inc,Lantronix
3086,LMNR,Limoneira Co,Limoneira
3087,LPTH,LightPath Technologies Inc,LightPath Technologies
3088,LICN,Lichen China Ltd,Lichen China
3089,LGF.A,Lions Gate Entertainment Corp,Lions Gate Entertainment
3090,LRMR,Larimar Therapeutics Inc,Larimar Therapeutics
3091,LSAK,Lesaka Technologies Inc,Lesaka Technologies
3092,LIND,Lindblad Expeditions Holdings Inc,Lindblad Expeditions Holdings
3093,LMB,Limbach Holdings Inc,Limbach Holdings
3094,LVRO,Lavoro Ltd,Lavoro
3095,LDTC,LeddarTech Holdings Inc.,LeddarTech Holdings.
3096,LQR,LQR House Inc,LQR House
3097,LPSN,LivePerson Inc,LivePerson
3098,LBTYB,Liberty Global Ltd,Liberty Global
3099,LAAC,Lithium Americas (Argentina) Corp,Lithium Americas (Argentina)
3100,LVO,LiveOne Inc,LiveOne
3101,LFST,Lifestance Health Group Inc,Lifestance Health Group
3102,LQDA,Liquidia Corp,Liquidia
3103,LCID,Lucid Group Inc,Lucid Group
3104,LAZR,Luminar Technologies Inc,Luminar Technologies
3105,LFUS,Littelfuse Inc,Littelfuse
3106,LANC,Lancaster Colony Corp,Lancasterlony
3107,LMAT,LeMaitre Vascular Inc,LeMaitre Vascular
3108,LXEO,Lexeo Therapeutics Inc,Lexeo Therapeutics
3109,LLYVK,Liberty Media Corp,Liberty Media
3110,LIXT,Lixte Biotechnology Holdings Inc,Lixte Biotechnology Holdings
3111,LILM,Lilium NV,Lilium
3112,LNSR,LENSAR Inc,LENSAR
3113,LDI,Loandepot Inc,Loandepot
3114,LDOS,Leidos Holdings Inc,Leidos Holdings
3115,LCII,LCI Industries,LCI Industries
3116,LGMK,LogicMark Inc,LogicMark
3117,LGCB,Linkage Global Inc,Linkage Global
3118,LKCO,Luokung Technology Corp,Luokung Technology
3119,LIN,Linde PLC,Linde
3120,LAD,Lithia Motors Inc,Lithia Motors
3121,LESL,Leslie's Inc,Leslie's
3122,LTBR,Lightbridge Corp,Lightbridge
3123,LYG,Lloyds Banking Group PLC,Lloyds Banking Group
3124,LCNB,LCNB Corp,LCNB
3125,LZM,Lifezone Metals Ltd,Lifezone Metals
3126,LC,LendingClub Corp,LendingClub
3127,LLYVA,Liberty Media Corp,Liberty Media
3128,LMFA,LM Funding America Inc,LM Funding America
3129,LSCC,Lattice Semiconductor Corp,Lattice Semiconductor
3130,LAKE,Lakeland Industries Inc,Lakeland Industries
3131,LEGH,Legacy Housing Corp,Legacy Housing
3132,FWONA,Liberty Media Corp,Liberty Media
3133,FWONK,Liberty Media Corp,Liberty Media
3134,LW,Lamb Weston Holdings Inc,Lamb Weston Holdings
3135,LBRDK,Liberty Broadband Corp,Liberty Broadband
3136,LOVE,Lovesac Co,Lovesac
3137,LAC,Lithium Americas Corp,Lithium Americas
3138,LFCR,Lifecore Biomedical Inc,Lifecore Biomedical
3139,LYEL,Lyell Immunopharma Inc,Lyell Immunopharma
3140,LEV,Lion Electric Co,Lion Electric
3141,LPL,LG Display Co Ltd,LG Display
3142,LVWR,LiveWire Group Inc,LiveWire Group
3143,LU,Lufax Holding Ltd,Lufax Holding
3144,LX,Lexinfintech Holdings Ltd,Lexinfintech Holdings
3145,LXRX,Lexicon Pharmaceuticals Inc,Lexicon Pharmaceuticals
3146,LUMO,Lumos Pharma Inc,Lumos Pharma
3147,LGND,Ligand Pharmaceuticals Inc,Ligand Pharmaceuticals
3148,LIVE,Live Ventures Inc,Live Ventures
3149,LDWY,Lendway Inc,Lendway
3150,LULU,Lululemon Athletica Inc,Lululemon Athletica
3151,MRX,Marex Group PLC,Marex Group
3152,MPX,Marine Products Corp,Marine Products
3153,MRO,Marathon Oil Corp,Marathon Oil
3154,MIR,Mirion Technologies Inc,Mirion Technologies
3155,MKC.V,McCormick & Company Inc,McCormick &mpany
3156,MLI,Mueller Industries Inc,Mueller Industries
3157,MCAG,Mountain Crest Acquisition Corp V,Mountain Crest Acquisition V
3158,MTUS,Metallus Inc,Metallus
3159,MTEN,Mingteng International Corp Inc,Mingteng International
3160,MFIN,Medallion Financial Corp,Medallion Financial
3161,MTR,Mesa Royalty Trust,Mesa Royalty Trust
3162,MERC,Mercer International Inc,Mercer International
3163,MULN,Mullen Automotive Inc,Mullen Automotive
3164,MFI,mF International Limited,mF International Limited
3165,MGPI,MGP Ingredients Inc,MGP Ingredients
3166,MBLY,Mobileye Global Inc,Mobileye Global
3167,MTH,Meritage Homes Corp,Meritage Homes
3168,MODV,ModivCare Inc,ModivCare
3169,MP,MP Materials Corp,MP Materials
3170,MSGS,Madison Square Garden Sports Corp,Madison Square Garden Sports
3171,MPW,Medical Properties Trust Inc,Medical Properties Trust
3172,MEI,Methode Electronics Inc,Methode Electronics
3173,MATW,Matthews International Corp,Matthews International
3174,MCB,Metropolitan Bank Holding Corp,Metropolitan Bank Holding
3175,MLR,Miller Industries Inc,Miller Industries
3176,MNTX,Manitex International Inc,Manitex International
3177,MRNA,Moderna Inc,Moderna
3178,MYMD,Mymd Pharmaceuticals Inc,Mymd Pharmaceuticals
3179,MFH,Mercurity Fintech Holding Inc,Mercurity Fintech Holding
3180,MIDD,Middleby Corp,Middleby
3181,MVO,MV Oil Trust,MV Oil Trust
3182,MNOV,MediciNova Inc,MediciNova
3183,MSEX,Middlesex Water Co,Middlesex Water
3184,MATH,Metalpha Technology Holding Ltd,Metalpha Technology Holding
3185,MGEE,MGE Energy Inc,MGE Energy
3186,MNSB,MainStreet Bancshares Inc,MainStreet Bancshares
3187,YGMZ,MingZhu Logistics Holdings Ltd,MingZhu Logistics Holdings
3188,MEOH,Methanex Corp,Methanex
3189,MUR,Murphy Oil Corp,Murphy Oil
3190,MRNO,Murano Global Investments Plc,Murano Global Investments Plc
3191,MTB,M&T Bank Corp,M&T Bank
3192,MMS,Maximus Inc,Maximus
3193,MS,Morgan Stanley,Morgan Stanley
3194,MLYS,Mineralys Therapeutics Inc,Mineralys Therapeutics
3195,MAS,Masco Corp,Masco
3196,MCAGU,Mountain Crest Acquisition Corp V,Mountain Crest Acquisition V
3197,MKFG,Markforged Holding Corp,Markforged Holding
3198,MLM,Martin Marietta Materials Inc,Martin Marietta Materials
3199,MUFG,Mitsubishi UFJ Financial Group Inc,Mitsubishi UFJ Financial Group
3200,MKL,Markel Group Inc,Markel Group
3201,MBCN,Middlefield Banc Corp,Middlefield Banc
3202,MOFG,Midwestone Financial Group Inc (IOWA),Midwestone Financial Group (IOWA)
3203,MNDR,Mobile-health Network Solutions,Mobile-health Network Solutions
3204,MITK,Mitek Systems Inc,Mitek Systems
3205,MAIN,Main Street Capital Corp,Main Street Capital
3206,MCK,Mckesson Corp,Mckesson
3207,MAMO,Massimo Group,Massimo Group
3208,GATE,Marblegate Acquisition Corp,Marblegate Acquisition
3209,MAQCU,Maquia Capital Acquisition Corp,Maquia Capital Acquisition
3210,MNKD,MannKind Corp,MannKind
3211,MDU,MDU Resources Group Inc,MDU Resources Group
3212,MGX,Metagenomi Inc,Metagenomi
3213,MU,Micron Technology Inc,Micron Technology
3214,MLEC,Moolec Science SA,Moolec Science
3215,MIGI,Mawson Infrastructure Group Inc,Mawson Infrastructure Group
3216,MRUS,Merus NV,Merus
3217,AIRJ,Montana Technologies Corp,Montana Technologies
3218,MAA,Mid-America Apartment Communities Inc,Mid-America Apartmentmmunities
3219,MYSZ,My Size Inc,My Size
3220,WNW,Meiwu Technology Co Ltd,Meiwu Technology
3221,MGNI,Magnite Inc,Magnite
3222,MRIN,Marin Software Inc,Marin Software
3223,HOLO,MicroCloud Hologram Inc,MicroCloud Hologram
3224,MYNA,Mynaric AG,Mynaric AG
3225,MBINM,Merchants Bancorp,Merchants Bancorp
3226,MRM,Medirom Healthcare Technologies Inc,Medirom Healthcare Technologies
3227,MTEM,Molecular Templates Inc,Molecular Templates
3228,MCS,Marcus Corp,Marcus
3229,MCD,McDonald's Corp,McDonald's
3230,MOBX,"MOBIX LABS, INC.","MOBIX LABS, INC."
3231,MACAU,Moringa Acquisition Corp,Moringa Acquisition
3232,MPLN,Multiplan Corp,Multiplan
3233,MMC,Marsh & McLennan Companies Inc,Marsh & McLennanmpanies
3234,MFA,MFA Financial Inc,MFA Financial
3235,MSDL,Morgan Stanley Direct Lending Fund,Morgan Stanley Direct Lending Fund
3236,MGIC,Magic Software Enterprises Ltd,Magic Software Enterprises
3237,MCAC,Monterey Capital Acquisition Corp,Monterey Capital Acquisition
3238,MLAB,Mesa Laboratories Inc,Mesa Laboratories
3239,MCHP,Microchip Technology Inc,Microchip Technology
3240,MSA,MSA Safety Inc,MSA Safety
3241,MRDB,MariaDB PLC,MariaDB
3242,MARXU,Mars Acquisition Corp,Mars Acquisition
3243,MYE,Myers Industries Inc,Myers Industries
3244,MCO,Moody's Corp,Moody's
3245,MXL,Maxlinear Inc,Maxlinear
3246,MEDP,Medpace Holdings Inc,Medpace Holdings
3247,MSI,Motorola Solutions Inc,Motorola Solutions
3248,MSTR,Microstrategy Inc,Microstrategy
3249,MDBH,MDB Capital Holdings LLC,MDB Capital Holdings LLC
3250,MSSAU,Metal Sky Star Acquisition Corp,Metal Sky Star Acquisition
3251,M,Macy's Inc,Macy's
3252,MANH,Manhattan Associates Inc,Manhattan Associates
3253,MNDY,Monday.Com Ltd,Monday.Com
3254,MELI,MercadoLibre Inc,MercadoLibre
3255,MSM,MSC Industrial Direct Co Inc,MSC Industrial Direct
3256,MA,Mastercard Inc,Mastercard
3257,MBWM,Mercantile Bank Corp,Mercantile Bank
3258,MOD,Modine Manufacturing Co,Modine Manufacturing
3259,TAP.A,Molson Coors Beverage Co,Molsonors Beverage
3260,MNRO,Monro Inc,Monro
3261,MRCC,Monroe Capital Corp,Monroe Capital
3262,MX,MagnaChip Semiconductor Corp,MagnaChip Semiconductor
3263,MTX,Minerals Technologies Inc,Minerals Technologies
3264,MIST,Milestone Pharmaceuticals Inc,Milestone Pharmaceuticals
3265,MSCI,MSCI Inc,MSCI
3266,MDT,Medtronic PLC,Medtronic
3267,MAQC,Maquia Capital Acquisition Corp,Maquia Capital Acquisition
3268,MCVT,Mill City Ventures III Ltd,Mill City Ventures III
3269,TAP,Molson Coors Beverage Co,Molsonors Beverage
3270,MOS,Mosaic Co,Mosaic
3271,MRK,Merck & Co Inc,Merck &
3272,MIRA,Mira Pharmaceuticals Inc,Mira Pharmaceuticals
3273,MCAAU,Mountain & Co I Acquisition Corp,Mountain & I Acquisition
3274,MTDR,Matador Resources Co,Matador Resources
3275,TUSK,Mammoth Energy Services Inc,Mammoth Energy Services
3276,MCACU,Monterey Capital Acquisition Corp,Monterey Capital Acquisition
3277,MSAI,MultiSensor AI Holdings Inc,MultiSensor AI Holdings
3278,GATEU,Marblegate Acquisition Corp,Marblegate Acquisition
3279,MNSO,MINISO Group Holding Ltd,MINISO Group Holding
3280,MOGU,Mogu Inc,Mogu
3281,MGOL,MGO Global Inc,MGO Global
3282,MBIN,Merchants Bancorp,Merchants Bancorp
3283,MCAA,Mountain & Co I Acquisition Corp,Mountain & I Acquisition
3284,MBUU,Malibu Boats Inc,Malibu Boats
3285,MED,Medifast Inc,Medifast
3286,MGY,Magnolia Oil & Gas Corp,Magnolia Oil & Gas
3287,MCFT,Mastercraft Boat Holdings Inc,Mastercraft Boat Holdings
3288,MNDO,Mind CTI Ltd,Mind CTI
3289,MATX,Matson Inc,Matson
3290,MNTK,Montauk Renewables Inc,Montauk Renewables
3291,MNST,Monster Beverage Corp,Monster Beverage
3292,MAN,ManpowerGroup Inc,ManpowerGroup
3293,MMLP,Martin Midstream Partners LP,Martin Midstream Partners LP
3294,MTD,Mettler-Toledo International Inc,Mettler-Toledo International
3295,MKSI,MKS Instruments Inc,MKS Instruments
3296,MODN,Model N Inc,Model N
3297,MLCO,Melco Resorts & Entertainment Ltd,Melco Resorts & Entertainment
3298,MRVL,Marvell Technology Inc,Marvell Technology
3299,MAC,Macerich Co,Macerich
3300,MEG,Montrose Environmental Group Inc,Montrose Environmental Group
3301,MLKN,MillerKnoll Inc,MillerKnoll
3302,MDIA,Mediaco Holding Inc,Mediaco Holding
3303,MORF,Morphic Holding Inc,Morphic Holding
3304,MAX,Mediaalpha Inc,Mediaalpha
3305,MTSI,MACOM Technology Solutions Holdings Inc,MACOM Technology Solutions Holdings
3306,MCRI,Monarch Casino & Resort Inc,Monarch Casino & Resort
3307,MBINO,Merchants Bancorp,Merchants Bancorp
3308,MACA,Moringa Acquisition Corp,Moringa Acquisition
3309,MCBC,Macatawa Bank Corp,Macatawa Bank
3310,MVBF,MVB Financial Corp,MVB Financial
3311,MSGM,Motorsport Games Inc,Motorsport Games
3312,MPWR,Monolithic Power Systems Inc,Monolithic Power Systems
3313,MTCH,Match Group Inc,Match Group
3314,MTC,MMTEC Inc,MMTEC
3315,MPC,Marathon Petroleum Corp,Marathon Petroleum
3316,MOV,Movado Group Inc,Movado Group
3317,MNSBP,MainStreet Bancshares Inc,MainStreet Bancshares
3318,MDLZ,Mondelez International Inc,Mondelez International
3319,MGRM,Monogram Technologies Inc,Monogram Technologies
3320,MPLX,MPLX LP,MPLX LP
3321,MINM,Minim Inc,Minim
3322,MTG,MGIC Investment Corp,MGIC Investment
3323,MANU,Manchester United PLC,Manchester United
3324,MNTS,Momentus Inc,Momentus
3325,MAXN,Maxeon Solar Technologies Ltd,Maxeon Solar Technologies
3326,MFC,Manulife Financial Corp,Manulife Financial
3327,MESO,Mesoblast Ltd,Mesoblast
3328,MESA,Mesa Air Group Inc,Mesa Air Group
3329,MCW,Mister Car Wash Inc,Mister Car Wash
3330,MORN,Morningstar Inc,Morningstar
3331,MMI,Marcus & Millichap Inc,Marcus & Millichap
3332,MYTE,MYT Netherlands Parent BV,MYT Netherlands Parent BV
3333,MYRG,MYR Group Inc,MYR Group
3334,MGM,MGM Resorts International,MGM Resorts International
3335,MTZ,MasTec Inc,MasTec
3336,MLNK,MeridianLink Inc,MeridianLink
3337,MBINN,Merchants Bancorp,Merchants Bancorp
3338,ML,MoneyLion Inc,MoneyLion
3339,HZO,MarineMax Inc,MarineMax
3340,MOLN,Molecular Partners AG,Molecular Partners AG
3341,VAC,Marriott Vacations Worldwide Corp,Marriott Vacations Worldwide
3342,MFG,Mizuho Financial Group Inc,Mizuho Financial Group
3343,MOR,MorphoSys AG,MorphoSys AG
3344,MEIP,MEI Pharma Inc,MEI Pharma
3345,MG,Mistras Group Inc,Mistras Group
3346,MASI,Masimo Corp,Masimo
3347,MATV,Mativ Holdings Inc,Mativ Holdings
3348,MTLS,Materialise NV,Materialise
3349,MARA,Marathon Digital Holdings Inc,Marathon Digital Holdings
3350,TIGO,Millicom International Cellular SA,Millicom International Cellular
3351,MBRX,Moleculin Biotech Inc,Moleculin Biotech
3352,MQ,Marqeta Inc,Marqeta
3353,MDB,MongoDB Inc,MongoDB
3354,MRKR,Marker Therapeutics Inc,Marker Therapeutics
3355,MBOT,Microbot Medical Inc,Microbot Medical
3356,MDWD,Mediwound Ltd,Mediwound
3357,MRCY,Mercury Systems Inc,Mercury Systems
3358,MPAA,Motorcar Parts of America Inc,Motorcar Parts of America
3359,MRVI,Maravai LifeSciences Holdings Inc,Maravai LifeSciences Holdings
3360,MODD,Modular Medical Inc,Modular Medical
3361,AVO,Mission Produce Inc,Mission Produce
3362,MTEX,Mannatech Inc,Mannatech
3363,MDXG,MiMedx Group Inc,MiMedx Group
3364,MOVE,Movano Inc,Movano
3365,MHK,Mohawk Industries Inc,Mohawk Industries
3366,MNMD,Mind Medicine (MindMed) Inc,Mind Medicine (MindMed)
3367,MDRR,Medalist Diversified Reit Inc,Medalist Diversified Reit
3368,MDV,Modiv Industrial Inc,Modiv Industrial
3369,MSGE,Madison Square Garden Entertainment Corp,Madison Square Garden Entertainment
3370,MNPR,Monopar Therapeutics Inc,Monopar Therapeutics
3371,MDXH,MDxHealth SA,MDxHealth
3372,MTEK,Maris Tech Ltd,Maris Tech
3373,MUSA,Murphy USA Inc,Murphy USA
3374,MMAT,Meta Materials Inc,Meta Materials
3375,MIND,Mind Technology Inc,Mind Technology
3376,MAMA,Mama's Creations Inc,Mama's Creations
3377,MOH,Molina Healthcare Inc,Molina Healthcare
3378,MGNX,MacroGenics Inc,MacroGenics
3379,MCY,Mercury General Corp,Mercury General
3380,MRSN,Mersana Therapeutics Inc,Mersana Therapeutics
3381,MBIO,Mustang Bio Inc,Mustang Bio
3382,MURA,Mural Oncology PLC,Mural Oncology
3383,MUX,McEwen Mining Inc,McEwen Mining
3384,MC,Moelis & Co,Moelis &
3385,MSBIP,Midland States Bancorp Inc,Midland States Bancorp
3386,MIRM,Mirum Pharmaceuticals Inc,Mirum Pharmaceuticals
3387,AIU,Meta Data Ltd,Meta Data
3388,MOB,Mobilicom Ltd,Mobilicom
3389,LOAN,Manhattan Bridge Capital Inc,Manhattan Bridge Capital
3390,MEGL,Magic Empire Global Ltd,Magic Empire Global
3391,INKT,Mink Therapeutics Inc,Mink Therapeutics
3392,MAR,Marriott International Inc,Marriott International
3393,NERV,Minerva Neurosciences Inc,Minerva Neurosciences
3394,MOGO,Mogo Inc,Mogo
3395,MREO,Mereo BioPharma Group PLC,Mereo BioPharma Group
3396,MARPS,Marine Petroleum Trust,Marine Petroleum Trust
3397,MGYR,Magyar Bancorp Inc,Magyar Bancorp
3398,MFIC,MidCap Financial Investment Corp,MidCap Financial Investment
3399,MTW,Manitowoc Company Inc,Manitowocmpany
3400,MGA,Magna International Inc,Magna International
3401,MRBK,Meridian Corp,Meridian
3402,MLP,Maui Land & Pineapple Company Inc,Maui Land & Pineapplempany
3403,MBI,MBIA Inc,MBIA
3404,COOP,Mr Cooper Group Inc,Mroper Group
3405,MTAL,Metals Acquisition Ltd,Metals Acquisition
3406,MNR,Mach Natural Resources LP,Mach Natural Resources LP
3407,MGIH,Millennium Group International Holdings Ltd,Millennium Group International Holdings
3408,MKTX,Marketaxess Holdings Inc,Marketaxess Holdings
3409,MSFT,Microsoft Corp,Microsoft
3410,MOG.A,Moog Inc,Moog
3411,MKC,McCormick & Company Inc,McCormick &mpany
3412,MHO,M/I Homes Inc,M/I Homes
3413,MMSI,Merit Medical Systems Inc,Merit Medical Systems
3414,MLGO,MicroAlgo Inc,MicroAlgo
3415,MMYT,MakeMyTrip Ltd,MakeMyTrip
3416,MWA,Mueller Water Products Inc,Mueller Water Products
3417,MGRX,Mangoceuticals Inc,Mangoceuticals
3418,MNY,MoneyHero Ltd,MoneyHero
3419,MOG.B,Moog Inc,Moog
3420,MTRN,Materion Corp,Materion
3421,MMV,MultiMetaVerse Holdings Limited,MultiMetaVerse Holdings Limited
3422,MGRC,McGrath RentCorp,McGrath RentCorp
3423,MRTN,Marten Transport Ltd,Marten Transport
3424,MEC,Mayville Engineering Company Inc,Mayville Engineeringmpany
3425,MXCT,MaxCyte Inc,MaxCyte
3426,MYGN,Myriad Genetics Inc,Myriad Genetics
3427,MTRX,Matrix Service Co,Matrix Service
3428,MBC,MasterBrand Inc,MasterBrand
3429,MCHX,Marchex Inc,Marchex
3430,MTTR,Matterport Inc,Matterport
3431,MDGL,Madrigal Pharmaceuticals Inc,Madrigal Pharmaceuticals
3432,MDJH,MDJM Ltd,MDJM
3433,MVST,Microvast Holdings Inc,Microvast Holdings
3434,GLUE,Monte Rosa Therapeutics Inc,Monte Rosa Therapeutics
3435,MVIS,MicroVision Inc,MicroVision
3436,MSS,Maison Solutions Inc,Maison Solutions
3437,MGTX,MeiraGTx Holdings PLC,MeiraGTx Holdings
3438,MRNS,Marinus Pharmaceuticals Inc,Marinus Pharmaceuticals
3439,MSBI,Midland States Bancorp Inc,Midland States Bancorp
3440,MAT,Mattel Inc,Mattel
3441,MET,MetLife Inc,MetLife
3442,MOND,Mondee Holdings Inc,Mondee Holdings
3443,MHUA,Meihua International Medical Technologies Co Ltd,Meihua International Medical Technologies
3444,CART,Maplebear Inc,Maplebear
3445,MLTX,MoonLake Immunotherapeutics,MoonLake Immunotherapeutics
3446,MHLD,Maiden Holdings Ltd,Maiden Holdings
3447,MYNZ,Mainz Biomed NV,Mainz Biomed
3448,MARX,Mars Acquisition Corp,Mars Acquisition
3449,MRC,MRC Global Inc,MRC Global
3450,MCBS,Metrocity Bankshares Inc,Metrocity Bankshares
3451,MKTW,MarketWise Inc,MarketWise
3452,MSSA,Metal Sky Star Acquisition Corp,Metal Sky Star Acquisition
3453,MSB,Mesabi Trust,Mesabi Trust
3454,META,Meta Platforms Inc,Meta Platforms
3455,MPB,Mid Penn Bancorp Inc,Mid Penn Bancorp
3456,LIFW,MSP Recovery Inc,MSP Recovery
3457,NCPL,Netcapital Inc,Netcapital
3458,NEUE,NeueHealth Inc,NeueHealth
3459,NTZ,Natuzzi SpA,Natuzzi SpA
3460,NBSTU,Newbury Street Acquisition Corp,Newbury Street Acquisition
3461,NE,Noble Corporation PLC,Nobleoration
3462,HOVR,New Horizon Aircraft Ltd,New Horizon Aircraft
3463,NRXP,NRX Pharmaceuticals Inc,NRX Pharmaceuticals
3464,NNBR,NN Inc,NN
3465,NNE,Nano Nuclear Energy Inc,Nano Nuclear Energy
3466,NKSH,National Bankshares Inc,National Bankshares
3467,NICK,Nicholas Financial Inc,Nicholas Financial
3468,NUE,Nucor Corp,Nucor
3469,NHI,National Health Investors Inc,National Health Investors
3470,NCMI,National Cinemedia Inc,National Cinemedia
3471,NREF,Nexpoint Real Estate Finance Inc,Nexpoint Real Estate Finance
3472,NIO,NIO Inc,NIO
3473,NMIH,NMI Holdings Inc,NMI Holdings
3474,NUS,NU Skin Enterprises Inc,NU Skin Enterprises
3475,NSA,National Storage Affiliates Trust,National Storage Affiliates Trust
3476,NIC,Nicolet Bankshares Inc,Nicolet Bankshares
3477,NXE,Nexgen Energy Ltd,Nexgen Energy
3478,NCI,Neo-Concept International Group Holdings Ltd,Neo-Concept International Group Holdings
3479,NEE,Nextera Energy Inc,Nextera Energy
3480,NVTS,Navitas Semiconductor Corp,Navitas Semiconductor
3481,NETDU,Nabors Energy Transition Corp II,Nabors Energy Transition II
3482,NVOS,Novo Integrated Sciences Inc,Novo Integrated Sciences
3483,NXTT,Next Technology Holding Inc,Next Technology Holding
3484,NWBI,Northwest Bancshares Inc,Northwest Bancshares
3485,NMTC,Neuroone Medical Technologies Corp,Neuroone Medical Technologies
3486,NTRA,Natera Inc,Natera
3487,NITO,N2OFF Inc,N2OFF
3488,NVAX,Novavax Inc,Novavax
3489,NBTB,NBT Bancorp Inc,NBT Bancorp
3490,NRIX,Nurix Therapeutics Inc,Nurix Therapeutics
3491,NTBL,Notable Labs Ltd,Notable Labs
3492,NIVF,NewGenIvf Group Ltd,NewGenIvf Group
3493,NWTN,NWTN Inc,NWTN
3494,NOVVU,Nova Vision Acquisition Corp,Nova Vision Acquisition
3495,NBST,Newbury Street Acquisition Corp,Newbury Street Acquisition
3496,NVAC,Northview Acquisition Corp,Northview Acquisition
3497,NVT,nVent Electric PLC,nVent Electric
3498,NUVL,Nuvalent Inc,Nuvalent
3499,NXST,Nexstar Media Group Inc,Nexstar Media Group
3500,NI,NiSource Inc,NiSource
3501,NYCB,New York Community Bancorp Inc,New Yorkmmunity Bancorp
3502,NBIX,Neurocrine Biosciences Inc,Neurocrine Biosciences
3503,NKE,Nike Inc,Nike
3504,NXT,Nextracker Inc,Nextracker
3505,NMHI,Nature's Miracle Holding Inc,Nature's Miracle Holding
3506,NGVC,Natural Grocers by Vitamin Cottage Inc,Natural Grocers by Vitaminttage
3507,NPABU,New Providence Acquisition Corp II,New Providence Acquisition II
3508,NFLX,Netflix Inc,Netflix
3509,NVCT,Nuvectis Pharma Inc,Nuvectis Pharma
3510,NC,NACCO Industries Inc,NACCO Industries
3511,NDAQ,Nasdaq Inc,Nasdaq
3512,NPK,National Presto Industries Inc,National Presto Industries
3513,NSC,Norfolk Southern Corp,Norfolk Southern
3514,JWN,Nordstrom Inc,Nordstrom
3515,NTRP,NextTrip Inc,NextTrip
3516,NEM,Newmont Corporation,Newmontoration
